<TICKER>;<PER>;<DATE>;<TIME>;<OPEN>;<HIGH>;<LOW>;<CLOSE>;<VOL>
USDCB;D;220811;000000;60.3814;60.3814;60.3814;60.3814;0
USDCB;D;220812;000000;60.4542;60.4542;60.4542;60.4542;0
USDCB;D;220813;000000;60.6229;60.6229;60.6229;60.6229;0
USDCB;D;220814;000000;60.8993;60.8993;60.8993;60.8993;0
USDCB;D;220817;000000;61.3747;61.3747;61.3747;61.3747;0
USDCB;D;220818;000000;61.4247;61.4247;61.4247;61.4247;0
USDCB;D;220819;000000;60.7552;60.7552;60.7552;60.7552;0
USDCB;D;220820;000000;59.957;59.957;59.957;59.957;0
USDCB;D;220821;000000;59.1321;59.1321;59.1321;59.1321;0
USDCB;D;220824;000000;59.7419;59.7419;59.7419;59.7419;0
USDCB;D;220825;000000;59.8963;59.8963;59.8963;59.8963;0
USDCB;D;220826;000000;59.9974;59.9974;59.9974;59.9974;0
USDCB;D;220827;000000;59.7699;59.7699;59.7699;59.7699;0
USDCB;D;220828;000000;60.0924;60.0924;60.0924;60.0924;0
USDCB;D;220831;000000;60.3636;60.3636;60.3636;60.3636;0
USDCB;D;220901;000000;60.3677;60.3677;60.3677;60.3677;0
USDCB;D;220902;000000;60.2386;60.2386;60.2386;60.2386;0
USDCB;D;220903;000000;60.237;60.237;60.237;60.237;0
USDCB;D;220904;000000;60.3713;60.3713;60.3713;60.3713;0
USDCB;D;220907;000000;60.9033;60.9033;60.9033;60.9033;0
USDCB;D;220908;000000;60.8544;60.8544;60.8544;60.8544;0
USDCB;D;220909;000000;61.1814;61.1814;61.1814;61.1814;0
USDCB;D;220910;000000;60.801;60.801;60.801;60.801;0
USDCB;D;220911;000000;60.4696;60.4696;60.4696;60.4696;0
USDCB;D;220914;000000;60.4568;60.4568;60.4568;60.4568;0
USDCB;D;220915;000000;60.0676;60.0676;60.0676;60.0676;0
USDCB;D;220916;000000;59.7751;59.7751;59.7751;59.7751;0
USDCB;D;220917;000000;59.6663;59.6663;59.6663;59.6663;0
USDCB;D;220918;000000;60.0316;60.0316;60.0316;60.0316;0
USDCB;D;220921;000000;60.1662;60.1662;60.1662;60.1662;0
USDCB;D;220922;000000;60.0158;60.0158;60.0158;60.0158;0
USDCB;D;220923;000000;60.8685;60.8685;60.8685;60.8685;0
USDCB;D;220924;000000;59.8318;59.8318;59.8318;59.8318;0
USDCB;D;220925;000000;58.1006;58.1006;58.1006;58.1006;0
USDCB;D;220928;000000;57.999;57.999;57.999;57.999;0
USDCB;D;220929;000000;58.1756;58.1756;58.1756;58.1756;0
USDCB;D;220930;000000;58.4485;58.4485;58.4485;58.4485;0
USDCB;D;221001;000000;57.413;57.413;57.413;57.413;0
USDCB;D;221002;000000;55.2987;55.2987;55.2987;55.2987;0
USDCB;D;221005;000000;57.5664;57.5664;57.5664;57.5664;0
USDCB;D;221006;000000;58.7913;58.7913;58.7913;58.7913;0
USDCB;D;221007;000000;59.4043;59.4043;59.4043;59.4043;0
USDCB;D;221008;000000;60.2534;60.2534;60.2534;60.2534;0
USDCB;D;221009;000000;61.2475;61.2475;61.2475;61.2475;0
USDCB;D;221012;000000;62.3126;62.3126;62.3126;62.3126;0
USDCB;D;221013;000000;63.684;63.684;63.684;63.684;0
USDCB;D;221014;000000;63.7559;63.7559;63.7559;63.7559;0
USDCB;D;221015;000000;63.4917;63.4917;63.4917;63.4917;0
USDCB;D;221016;000000;63.0558;63.0558;63.0558;63.0558;0
USDCB;D;221019;000000;61.7634;61.7634;61.7634;61.7634;0
USDCB;D;221020;000000;61.7032;61.7032;61.7032;61.7032;0
USDCB;D;221021;000000;61.5905;61.5905;61.5905;61.5905;0
